,0,1,2
2634,CHEMBL614423,Staphylococcus hominis,Staphylococcus hominis
2635,CHEMBL614424,Acinetobacter,Acinetobacter
2636,CHEMBL614425,Acinetobacter baumannii,Acinetobacter baumannii
2637,CHEMBL614426,Acinetobacter calcoaceticus,Acinetobacter calcoaceticus
2638,CHEMBL614427,Acinetobacter sp.,Acinetobacter sp.
2639,CHEMBL614428,Moraxella bovis,Moraxella bovis
2640,CHEMBL614429,Moraxella catarrhalis,Moraxella catarrhalis
2641,CHEMBL614430,Neisseria gonorrhoeae,Neisseria gonorrhoeae
2642,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis
2643,CHEMBL612613,Neisseria sicca,Neisseria sicca
2644,CHEMBL614432,Alcaligenes,Alcaligenes
2645,CHEMBL614433,Alcaligenes faecalis,Alcaligenes faecalis
2646,CHEMBL612286,Bordetella bronchiseptica,Bordetella bronchiseptica
2647,CHEMBL614434,Bordetella pertussis,Bordetella pertussis
2648,CHEMBL612614,Eikenella corrodens,Eikenella corrodens
2649,CHEMBL614436,Enterobacteriaceae,Enterobacteriaceae
2650,CHEMBL614437,Citrobacter,Citrobacter
2651,CHEMBL614438,Citrobacter koseri,Citrobacter koseri
2652,CHEMBL612615,Citrobacter freundii,Citrobacter freundii
2653,CHEMBL614439,Enterobacter,Enterobacter
2654,CHEMBL612508,Enterobacter aerogenes,Enterobacter aerogenes
2655,CHEMBL614440,Erwinia chrysanthemi,Erwinia chrysanthemi
2656,CHEMBL354,Escherichia coli,Escherichia coli
2657,CHEMBL614441,Klebsiella oxytoca,Klebsiella oxytoca
2658,CHEMBL612616,Klebsiella sp.,Klebsiella sp.
2659,CHEMBL614442,Morganella,Morganella
2660,CHEMBL614443,Morganella morganii,Morganella morganii
2661,CHEMBL614444,Proteus mirabilis,Proteus mirabilis
2662,CHEMBL612617,Providencia,Providencia
2663,CHEMBL614445,Providencia stuartii,Providencia stuartii
2664,CHEMBL614446,Salmonella,Salmonella
2665,CHEMBL614447,Salmonella enterica subsp. enterica serovar Enteritidis,Salmonella enteritidis
2666,CHEMBL612618,Salmonella sp.,Salmonella sp.
2667,CHEMBL614448,Salmonella enterica subsp. enterica serovar Typhi,Salmonella typhi
2668,CHEMBL614592,Serratia,Serratia
2669,CHEMBL614593,Serratia marcescens,Serratia marcescens
2670,CHEMBL614594,Shigella,Shigella
2671,CHEMBL612619,Shigella dysenteriae,Shigella dysenteriae
2672,CHEMBL614595,Shigella sonnei,Shigella sonnei
2673,CHEMBL614597,Yersinia pestis,Yersinia pestis
2674,CHEMBL614598,Edwardsiella tarda,Edwardsiella tarda
2675,CHEMBL612509,Aeromonas hydrophila,Aeromonas hydrophila
2676,CHEMBL612620,Aeromonas sp.,Aeromonas sp.
2677,CHEMBL614599,Vibrio alginolyticus,Vibrio alginolyticus
2678,CHEMBL614600,Aliivibrio fischeri,Vibrio fischeri
2679,CHEMBL612621,Vibrio mimicus,Vibrio mimicus
2680,CHEMBL614602,Vibrio fluvialis,Vibrio fluvialis
2681,CHEMBL614603,Actinobacillus pleuropneumoniae,Actinobacillus pleuropneumoniae
2682,CHEMBL355,Haemophilus influenzae,Haemophilus influenzae
2683,CHEMBL614604,Haemophilus ducreyi,Haemophilus ducreyi
2684,CHEMBL614605,Pasteurella sp.,Pasteurella sp.
2685,CHEMBL614606,Chlamydia trachomatis,Chlamydia trachomatis
2686,CHEMBL612622,Bacteroides uniformis,Bacteroides uniformis
2687,CHEMBL612287,Bacteroides vulgatus,Bacteroides vulgatus
2688,CHEMBL614607,Prevotella loescheii,Prevotella loescheii
2689,CHEMBL614608,Fusobacterium,Fusobacterium
2690,CHEMBL614609,Fusobacterium nucleatum,Fusobacterium nucleatum
2691,CHEMBL612623,Planktothrix agardhii,Planktothrix agardhii
2692,CHEMBL614614,Dolichospermum flos-aquae,Anabaena flos-aquae
2693,CHEMBL614615,Finegoldia magna,Finegoldia magna
2694,CHEMBL614616,Peptostreptococcus sp.,Peptostreptococcus sp.
2695,CHEMBL614617,Sarcina,Sarcina
2696,CHEMBL612510,Kocuria rosea,Kocuria rosea
2697,CHEMBL612624,Staphylococcus,Staphylococcus
2698,CHEMBL614618,Staphylococcus carnosus,Staphylococcus carnosus
2699,CHEMBL614619,Staphylococcus hyicus,Staphylococcus hyicus
2700,CHEMBL612425,Staphylococcus simulans,Staphylococcus simulans
2701,CHEMBL612625,Staphylococcus warneri,Staphylococcus warneri
2702,CHEMBL614620,Streptococcus salivarius,Streptococcus salivarius
2703,CHEMBL614621,Streptococcus sp.,Streptococcus sp.
2704,CHEMBL612426,Streptococcus mutans,Streptococcus mutans
2705,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae
2706,CHEMBL356,Streptococcus pyogenes,Streptococcus pyogenes
2707,CHEMBL612427,Streptococcus equi,Streptococcus equi
2708,CHEMBL357,Enterococcus faecium,Enterococcus faecium
2709,CHEMBL614623,Enterococcus hirae,Enterococcus hirae
2710,CHEMBL612428,Bacillus,Bacillus
2711,CHEMBL614624,Brevibacillus brevis,Brevibacillus brevis
2712,CHEMBL612626,Bacillus licheniformis,Bacillus licheniformis
2713,CHEMBL612429,Bacillus pumilus,Bacillus pumilus
2714,CHEMBL614625,Ajellomyces capsulatus,Ajellomyces capsulatus
2715,CHEMBL614626,Aspergillus,Aspergillus
2716,CHEMBL614955,Aspergillus flavus,Aspergillus flavus
2717,CHEMBL358,Aspergillus niger,Aspergillus niger
2718,CHEMBL614956,Bacillus sp.,Bacillus sp.
2719,CHEMBL614957,Geobacillus stearothermophilus,Geobacillus stearothermophilus
2720,CHEMBL359,Bacillus subtilis,Bacillus subtilis
2721,CHEMBL614959,Bacillus thuringiensis,Bacillus thuringiensis
2722,CHEMBL614960,Bacillus lentus,Bacillus lentus
2723,CHEMBL614961,Clostridium acetobutylicum,Clostridium acetobutylicum
2724,CHEMBL614962,Clostridium bifermentans,Clostridium bifermentans
2725,CHEMBL614964,Clostridium butyricum,Clostridium butyricum
2726,CHEMBL614965,Clostridium difficile,Clostridium difficile
2727,CHEMBL614966,Clostridium histolyticum,Clostridium histolyticum
2728,CHEMBL614967,Clostridium perfringens,Clostridium perfringens
2729,CHEMBL614968,Clostridium septicum,Clostridium septicum
2730,CHEMBL614969,Clostridium sporogenes,Clostridium sporogenes
2731,CHEMBL614970,Clostridium cadaveris,Clostridium cadaveris
2732,CHEMBL614971,Clostridium ramosum,Clostridium ramosum
2733,CHEMBL614973,Lactobacillus plantarum,Lactobacillus plantarum
2734,CHEMBL614974,Listeria monocytogenes,Listeria monocytogenes
2735,CHEMBL614975,Actinomyces naeslundii,Actinomyces naeslundii
2736,CHEMBL614976,Actinomyces israelii,Actinomyces israelii
2737,CHEMBL612511,Brevibacterium linens,Brevibacterium linens
2738,CHEMBL614979,Corynebacterium glutamicum,Corynebacterium glutamicum
2739,CHEMBL612288,Corynebacterium xerosis,Corynebacterium xerosis
2740,CHEMBL614980,Propionibacterium,Propionibacterium
2741,CHEMBL614981,Mycobacterium,Mycobacterium
2742,CHEMBL614982,Mycobacterium avium,Mycobacterium avium
2743,CHEMBL614983,Mycobacterium fortuitum,Mycobacterium fortuitum
2744,CHEMBL614984,Mycobacterium kansasii,Mycobacterium kansasii
2745,CHEMBL614985,Mycobacterium phlei,Mycobacterium phlei
2746,CHEMBL360,Mycobacterium tuberculosis,Mycobacterium tuberculosis
2747,CHEMBL614986,Mycobacterium gordonae,Mycobacterium gordonae
2748,CHEMBL614987,Mycobacterium marinum,Mycobacterium marinum
2749,CHEMBL614988,Mycobacterium simiae,Mycobacterium simiae
2750,CHEMBL614989,Streptomyces,Streptomyces
2751,CHEMBL614990,Streptomyces griseus,Streptomyces griseus
2752,CHEMBL614991,Streptomyces sp.,Streptomyces sp.
2753,CHEMBL612627,Mycoplasma pneumoniae,Mycoplasma pneumoniae
2754,CHEMBL614994,Gardnerella vaginalis,Gardnerella vaginalis
2755,CHEMBL614995,Chlorella pyrenoidosa,Chlorella pyrenoidosa
2756,CHEMBL614996,Amaranthus,Amaranthus
2757,CHEMBL612628,Abutilon,Abutilon
2758,CHEMBL612710,Arabidopsis thaliana,Arabidopsis thaliana
2759,CHEMBL612629,Prunus domestica,Prunus domestica
2760,CHEMBL612713,Arachis hypogaea,Arachis hypogaea
2761,CHEMBL612714,Erythrina corallodendron,Erythrina corallodendron
2762,CHEMBL612715,Pisum sativum,Pisum sativum
2763,CHEMBL612716,Capsicum,Capsicum
2764,CHEMBL613059,Nicotiana tabacum,Nicotiana tabacum
2765,CHEMBL613060,Helianthus annuus,Helianthus annuus
2766,CHEMBL613061,Oryza sativa,Oryza sativa
2767,CHEMBL612631,Sorghum halepense,Sorghum halepense
2768,CHEMBL613062,Zea mays,Zea mays
2769,CHEMBL613063,Fungi,Fungi
2770,CHEMBL613064,Pneumocystis carinii,Pneumocystis carinii
2771,CHEMBL613065,Phytophthora infestans,Phytophthora infestans
2772,CHEMBL612521,Mucor,Mucor
2773,CHEMBL612430,Rhizopus,Rhizopus
2774,CHEMBL612632,Schizosaccharomyces pombe,Schizosaccharomyces pombe
2775,CHEMBL612309,Cyberlindnera jadinii,Pichia jadinii
2776,CHEMBL613066,Pichia pastoris,Pichia pastoris
2777,CHEMBL612431,Scheffersomyces stipitis,Pichia stipitis
2778,CHEMBL361,Saccharomyces cerevisiae,Saccharomyces cerevisiae
2779,CHEMBL613067,Dekkera bruxellensis,Dekkera bruxellensis
2780,CHEMBL612432,Leptosphaeria maculans,Leptosphaeria maculans
2781,CHEMBL612633,Aspergillus sp.,Aspergillus sp.
2782,CHEMBL613068,Penicillium,Penicillium
2783,CHEMBL612433,Penicillium citrinum,Penicillium citrinum
2784,CHEMBL362,Enterococcus faecalis,Enterococcus faecalis
2785,CHEMBL613069,Lactococcus lactis,Lactococcus lactis
2786,CHEMBL613070,Bacillus cereus,Bacillus cereus
2787,CHEMBL613071,Bacillus megaterium,Bacillus megaterium
2788,CHEMBL613072,Clostridium sordellii,Clostridium sordellii
2789,CHEMBL613073,Clostridium tetani,Clostridium tetani
2790,CHEMBL612635,Clostridium novyi,Clostridium novyi
2791,CHEMBL613074,Clostridium tertium,Clostridium tertium
2792,CHEMBL613075,Lactobacillus casei,Lactobacillus casei
2793,CHEMBL613076,Lactobacillus fermentum,Lactobacillus fermentum
2794,CHEMBL612636,Listeria innocua,Listeria innocua
2795,CHEMBL613077,Erysipelothrix rhusiopathiae,Erysipelothrix rhusiopathiae
2796,CHEMBL613078,Actinomyces viscosus,Actinomyces viscosus
2797,CHEMBL612637,Arcanobacterium pyogenes,Arcanobacterium pyogenes
2798,CHEMBL613079,Corynebacterium ammoniagenes,Corynebacterium ammoniagenes
2799,CHEMBL613080,Corynebacterium,Corynebacterium
2800,CHEMBL612638,Corynebacterium diphtheriae,Corynebacterium diphtheriae
2801,CHEMBL613081,Corynebacterium sp.,Corynebacterium sp.
2802,CHEMBL613082,Porphyridium aerugineum,Porphyridium aerugineum
2803,CHEMBL613083,Prototheca wickerhamii,Prototheca wickerhamii
2804,CHEMBL613084,Eubacterium limosum,Eubacterium limosum
2805,CHEMBL612639,Propionibacterium acnes,Propionibacterium acnes
2806,CHEMBL613086,Mycobacterium bovis,Mycobacterium bovis
2807,CHEMBL612640,Mycobacterium intracellulare,Mycobacterium intracellulare
2808,CHEMBL613087,Mycobacterium avium subsp. paratuberculosis,Mycobacterium avium subsp. paratuberculosis
2809,CHEMBL613088,Mycobacterium smegmatis,Mycobacterium smegmatis
2810,CHEMBL612641,Mycobacterium chelonae,Mycobacterium chelonae
2811,CHEMBL613089,Mycobacterium flavescens,Mycobacterium flavescens
2812,CHEMBL613090,Mycobacterium malmoense,Mycobacterium malmoense
2813,CHEMBL613091,Mycobacterium scrofulaceum,Mycobacterium scrofulaceum
2814,CHEMBL612642,Mycobacterium xenopi,Mycobacterium xenopi
2815,CHEMBL613092,Streptomyces coelicolor,Streptomyces coelicolor
2816,CHEMBL613093,Streptomyces chartreusis,Streptomyces chartreusis
2817,CHEMBL612643,Mycoplasma gallisepticum,Mycoplasma gallisepticum
2818,CHEMBL612823,Acholeplasma laidlawii,Acholeplasma laidlawii
2819,CHEMBL612605,Sulfolobus solfataricus,Sulfolobus solfataricus
2820,CHEMBL612824,Spinacia oleracea,Spinacia oleracea
2821,CHEMBL612827,Brassica oleracea var. capitata,Brassica oleracea var. capitata
2822,CHEMBL612830,Glycine max,Glycine max
2823,CHEMBL612832,Catharanthus roseus,Catharanthus roseus
2824,CHEMBL612833,Solanum,Solanum
2825,CHEMBL612834,Avena fatua,Avena fatua
2826,CHEMBL612835,Setaria viridis,Setaria viridis
2827,CHEMBL612836,Triticum aestivum,Triticum aestivum
2828,CHEMBL612837,Saprolegnia,Saprolegnia
2829,CHEMBL612838,Phytophthora capsici,Phytophthora capsici
2830,CHEMBL612839,Rhizomucor miehei,Rhizomucor miehei
2831,CHEMBL612840,Rhizopus microsporus var. chinensis,Rhizopus microsporus var. chinensis
2832,CHEMBL612841,Pichia kudriavzevii,Issatchenkia orientalis
2833,CHEMBL612842,Kluyveromyces marxianus,Kluyveromyces marxianus
2834,CHEMBL612843,Meyerozyma guilliermondii,Pichia guilliermondii
2835,CHEMBL612844,Yarrowia lipolytica,Yarrowia lipolytica
2836,CHEMBL612522,Zygosaccharomyces bailii,Zygosaccharomyces bailii
2837,CHEMBL612845,Aspergillus oryzae,Aspergillus oryzae
2838,CHEMBL612846,Aspergillus wentii,Aspergillus wentii
2839,CHEMBL612847,Penicillium chrysogenum,Penicillium chrysogenum
2840,CHEMBL363,Aspergillus fumigatus,Aspergillus fumigatus
2841,CHEMBL612848,Leishmania infantum,Leishmania infantum
2842,CHEMBL612849,Trypanosoma brucei,Trypanosoma brucei
2843,CHEMBL612851,Trypanosoma brucei brucei,Trypanosoma brucei brucei
2844,CHEMBL612852,Tritrichomonas suis,Tritrichomonas foetus
2845,CHEMBL612853,Entamoeba histolytica,Entamoeba histolytica
2846,CHEMBL612854,Eimeria tenella,Eimeria tenella
2847,CHEMBL612855,Cryptosporidium parvum,Cryptosporidium parvum
2848,CHEMBL364,Plasmodium falciparum,Plasmodium falciparum
2849,CHEMBL612856,Plasmodium falciparum K1,Plasmodium falciparum (isolate K1 / Thailand)
2850,CHEMBL612858,Tetrahymena thermophila,Tetrahymena thermophila
2851,CHEMBL612859,Encephalitozoon cuniculi,Encephalitozoon cuniculi
2852,CHEMBL612644,Schistosoma japonicum,Schistosoma japonicum
2853,CHEMBL612860,Fasciola hepatica,Fasciola hepatica
2854,CHEMBL612861,Dermatophagoides pteronyssinus,Dermatophagoides pteronyssinus
2855,CHEMBL612862,Myrothecium verrucaria,Myrothecium verrucaria
2856,CHEMBL612645,Amorphotheca resinae,Amorphotheca resinae
2857,CHEMBL612863,Ophiostoma ulmi,Ophiostoma ulmi
2858,CHEMBL365,Cryptococcus neoformans,Filobasidiella neoformans
2859,CHEMBL612864,Ustilago maydis,Ustilago maydis
2860,CHEMBL612646,Microbotryum violaceum,Microbotryum violaceum
2861,CHEMBL612865,Cryptococcus laurentii,Cryptococcus laurentii
2862,CHEMBL612866,Colletotrichum musae,Colletotrichum musae
2863,CHEMBL612867,Candida,Candida
2864,CHEMBL366,Candida albicans,Candida albicans
2865,CHEMBL612647,Candida glabrata,Candida glabrata
2866,CHEMBL612868,Candida parapsilosis,Candida parapsilosis
2867,CHEMBL612869,Candida rugosa,Candida rugosa
2868,CHEMBL612870,Candida tropicalis,Candida tropicalis
2869,CHEMBL612310,Candida zeylanoides,Candida zeylanoides
2870,CHEMBL612648,Fusarium oxysporum,Fusarium oxysporum
2871,CHEMBL612871,Rhodotorula mucilaginosa,Rhodotorula mucilaginosa
2872,CHEMBL612872,Trichoderma,Trichoderma
2873,CHEMBL612873,Hypocrea rufa,Trichoderma viride
2874,CHEMBL612649,Trichophyton rubrum,Trichophyton rubrum
2875,CHEMBL612874,Trichosporon beigelii,Trichosporon beigelii
2876,CHEMBL612875,Aureobasidium pullulans,Aureobasidium pullulans
2877,CHEMBL612876,Pseudallescheria boydii,Pseudallescheria boydii
2878,CHEMBL612650,Crithidia fasciculata,Crithidia fasciculata
2879,CHEMBL612877,Leishmania amazonensis,Leishmania amazonensis
2880,CHEMBL612878,Leishmania braziliensis,Leishmania braziliensis
2881,CHEMBL367,Leishmania donovani,Leishmania donovani
2882,CHEMBL612879,Leishmania major,Leishmania major
2883,CHEMBL612880,Leishmania mexicana,Leishmania mexicana
2884,CHEMBL612881,Leishmania tropica,Leishmania tropica
2885,CHEMBL612651,Leishmania aethiopica,Leishmania aethiopica
2886,CHEMBL612882,Leishmania panamensis,Leishmania panamensis
2887,CHEMBL612883,Trypanosoma,Trypanosoma
2888,CHEMBL368,Trypanosoma cruzi,Trypanosoma cruzi
2889,CHEMBL612884,Trichomonas vaginalis,Trichomonas vaginalis
2890,CHEMBL612652,Giardia intestinalis,Giardia intestinalis
2891,CHEMBL612885,Eimeria,Eimeria
2892,CHEMBL612886,Eimeria acervulina,Eimeria acervulina
2893,CHEMBL612887,Eimeria maxima,Eimeria maxima
2894,CHEMBL612888,Toxoplasma gondii,Toxoplasma gondii
2895,CHEMBL612653,Plasmodium berghei,Plasmodium berghei
2896,CHEMBL612889,Plasmodium yoelii,Plasmodium yoelii
2897,CHEMBL612890,Theileria parva,Theileria parva
2898,CHEMBL612891,Tetrahymena pyriformis,Tetrahymena pyriformis
2899,CHEMBL612893,Schistosoma mansoni,Schistosoma mansoni
2900,CHEMBL612894,Taenia crassiceps,Taenia crassiceps
2901,CHEMBL612895,Locusta migratoria,Locusta migratoria
2902,CHEMBL612658,Acyrthosiphon pisum,Acyrthosiphon pisum
2903,CHEMBL612896,Bombyx mori,Bombyx mori
2904,CHEMBL612897,Spodoptera littoralis,Spodoptera littoralis
2905,CHEMBL612898,Manduca sexta,Manduca sexta
2906,CHEMBL612659,Choristoneura fumiferana,Choristoneura fumiferana
2907,CHEMBL612899,Drosophila melanogaster,Drosophila melanogaster
2908,CHEMBL612900,Calliphoridae,Calliphoridae
2909,CHEMBL612901,Phormia regina,Phormia regina
2910,CHEMBL612902,Ctenocephalides felis,Ctenocephalides felis
2911,CHEMBL612903,Hemicentrotus pulcherrimus,Hemicentrotus pulcherrimus
2912,CHEMBL612905,Cyprinus carpio,Cyprinus carpio
2913,CHEMBL612661,Electrophorus electricus,Electrophorus electricus
2914,CHEMBL612906,Rana pipiens,Rana pipiens
2915,CHEMBL612907,Serpentes,Serpentes
2916,CHEMBL613108,Crotalus adamanteus,Crotalus adamanteus
2917,CHEMBL613109,Gallus gallus,Gallus gallus
2918,CHEMBL613110,Meleagris gallopavo,Meleagris gallopavo
2919,CHEMBL613111,Callitrichinae,Callitrichidae
2920,CHEMBL613112,Papio hamadryas,Papio hamadryas
2921,CHEMBL613113,Pan troglodytes,Pan troglodytes
2922,CHEMBL613114,Mustela putorius furo,Mustela putorius furo
2923,CHEMBL613115,Equus caballus,Equus caballus
2924,CHEMBL613116,Ovis aries,Ovis aries
2925,CHEMBL613117,Marmota monax,Marmota monax
2926,CHEMBL613118,Meriones unguiculatus,Meriones unguiculatus
2927,CHEMBL613119,Mastomys natalensis,Mastomys natalensis
2928,CHEMBL369,Cavia porcellus,Cavia porcellus
2929,CHEMBL613120,Monkeypox virus,Monkeypox virus
2930,CHEMBL613121,Molluscum contagiosum virus,Molluscum contagiosum virus
2931,CHEMBL370,Human herpesvirus 2,Human herpesvirus 2
2932,CHEMBL613122,Equid herpesvirus 1,Equid herpesvirus 1
2933,CHEMBL613123,Human herpesvirus 5 strain AD169,Human herpesvirus 5 strain AD169
2934,CHEMBL613124,Human herpesvirus 4,Human herpesvirus 4
2935,CHEMBL613126,Human parainfluenza virus 3,Human parainfluenza virus 3
2936,CHEMBL613127,Human respiratory syncytial virus,Human respiratory syncytial virus
2937,CHEMBL613128,unidentified influenza virus,unidentified influenza virus
2938,CHEMBL613129,Influenza B virus,Influenza B virus
2939,CHEMBL613130,Rift Valley fever virus,Rift Valley fever virus
2940,CHEMBL613131,Tacaribe virus,Tacaribe virus
2941,CHEMBL612523,Equine infectious anemia virus,Equine infectious anemia virus
2942,CHEMBL613132,Human herpesvirus 3,Human herpesvirus 3
2943,CHEMBL613133,Suid herpesvirus 1,Suid herpesvirus 1
2944,CHEMBL613134,Cytomegalovirus,Cytomegalovirus
2945,CHEMBL371,Human herpesvirus 5,Human herpesvirus 5
2946,CHEMBL613135,Caenorhabditis elegans,Caenorhabditis elegans
2947,CHEMBL613136,Ascaris suum,Ascaris suum
2948,CHEMBL613139,Acanthocheilonema viteae,Acanthocheilonema viteae
2949,CHEMBL613140,Brugia malayi,Brugia malayi
2950,CHEMBL613141,Brugia pahangi,Brugia pahangi
2951,CHEMBL613142,Onchocerca volvulus,Onchocerca volvulus
2952,CHEMBL613143,Onchocerca gutturosa,Onchocerca gutturosa
2953,CHEMBL613144,Haemonchus contortus,Haemonchus contortus
2954,CHEMBL613145,Litomosoides carinii,Litomosoides carinii
2955,CHEMBL613453,Meloidogyne incognita,Meloidogyne incognita
2956,CHEMBL613454,Trichostrongylus colubriformis,Trichostrongylus colubriformis
2957,CHEMBL613455,Trichinella spiralis,Trichinella spiralis
2958,CHEMBL612662,Heligmosomoides polygyrus,Heligmosomoides polygyrus
2959,CHEMBL613459,Artemia,Artemia
2960,CHEMBL613460,Majidae,Majidae
2961,CHEMBL613461,Limulus,Limulus
2962,CHEMBL612663,Periplaneta americana,Periplaneta americana
2963,CHEMBL613463,Schistocerca gregaria,Schistocerca gregaria
2964,CHEMBL613464,Tenebrio molitor,Tenebrio molitor
2965,CHEMBL613465,Spodoptera frugiperda,Spodoptera frugiperda
2966,CHEMBL613466,Trichoplusia ni,Trichoplusia ni
2967,CHEMBL612664,Galleria mellonella,Galleria mellonella
2968,CHEMBL613467,Culicidae,Culicidae
2969,CHEMBL613468,Aedes aegypti,Aedes aegypti
2970,CHEMBL613469,Musca domestica,Musca domestica
2971,CHEMBL613470,Lucilia cuprina,Lucilia cuprina
2972,CHEMBL612665,Apis mellifera,Apis mellifera
2973,CHEMBL613471,Siphonaptera,Siphonaptera
2974,CHEMBL613473,Echinoidea,Echinoidea
2975,CHEMBL612666,Torpedo,Torpedo
2976,CHEMBL613475,Anguilliformes,Anguilliformes
2977,CHEMBL613476,Carassius auratus,Carassius auratus
2978,CHEMBL613477,Anura,Anura
2979,CHEMBL613478,Xenopus laevis,Xenopus laevis
2980,CHEMBL612667,Xenopus sp.,Xenopus sp.
2981,CHEMBL613482,Bothrops jararacussu,Bothrops jararacussu
2982,CHEMBL613483,Aves,Aves
2983,CHEMBL613484,Columba livia,Columba livia
2984,CHEMBL612669,Coturnix coturnix,Coturnix coturnix
2985,CHEMBL613485,Suncus murinus,Suncus murinus
2986,CHEMBL372,Homo sapiens,Homo sapiens
2987,CHEMBL373,Canis lupus familiaris,Canis familiaris
2988,CHEMBL612670,Felis catus,Felis catus
2989,CHEMBL613488,Sus scrofa,Sus scrofa
2990,CHEMBL613489,Bos taurus,Bos taurus
2991,CHEMBL374,Oryctolagus cuniculus,Oryctolagus cuniculus
2992,CHEMBL612671,Gerbillinae,Gerbillinae
2993,CHEMBL375,Mus musculus,Mus musculus
2994,CHEMBL613490,Mus sp.,Mus sp.
2995,CHEMBL613491,Rattus,Rattus
2996,CHEMBL376,Rattus norvegicus,Rattus norvegicus
2997,CHEMBL612672,Cowpox virus,Cowpox virus
2998,CHEMBL613493,Vaccinia virus,Vaccinia virus
2999,CHEMBL613494,Variola virus,Variola virus
3000,CHEMBL377,Human herpesvirus 1,Human herpesvirus 1
3001,CHEMBL612673,Bovine herpesvirus 1,Bovine herpesvirus 1
3002,CHEMBL613495,Murid herpesvirus 1,Murid herpesvirus 1
3003,CHEMBL613496,Human herpesvirus 6,Human herpesvirus 6
3004,CHEMBL613497,Hepatitis B virus,Hepatitis B virus
3005,CHEMBL378,Human immunodeficiency virus 1,Human immunodeficiency virus 1
3006,CHEMBL613498,Human immunodeficiency virus type 1 (RF/HAT ISOLATE),Human immunodeficiency virus type 1 (RF/HAT ISOLATE)
3007,CHEMBL613499,Simian immunodeficiency virus,Simian immunodeficiency virus
3008,CHEMBL613500,Moloney murine leukemia virus,Moloney murine leukemia virus
3009,CHEMBL613501,Moloney murine sarcoma virus,Moloney murine sarcoma virus
3010,CHEMBL613550,Avian myeloblastosis virus,Avian myeloblastosis virus
3011,CHEMBL613551,Human T-lymphotropic virus 1,Human T-lymphotropic virus 1
3012,CHEMBL613552,Human echovirus 9,Human echovirus 9
3013,CHEMBL613553,Human coxsackievirus A21,Human coxsackievirus A21
3014,CHEMBL613554,Human coxsackievirus B3,Human coxsackievirus B3
3015,CHEMBL613555,Human coxsackievirus B5,Human coxsackievirus B5
3016,CHEMBL613556,Human poliovirus 1,Human poliovirus 1
3017,CHEMBL613557,Human poliovirus 3,Human poliovirus 3
3018,CHEMBL613558,Encephalomyocarditis virus,Encephalomyocarditis virus
3019,CHEMBL613713,Human rhinovirus 1B,Human rhinovirus 1B
3020,CHEMBL613714,African swine fever virus,African swine fever virus
3021,CHEMBL613715,Human adenovirus 2,Human adenovirus type 2
3022,CHEMBL613716,unidentified adenovirus,unidentified adenovirus
3023,CHEMBL612319,Human papillomavirus,Human papillomavirus
3024,CHEMBL613717,Human papillomavirus type 11,Human papillomavirus type 11
3025,CHEMBL613718,Enterobacteria phage T4,Enterobacteria phage T4
3026,CHEMBL613719,Mammalian orthoreovirus 1,Mammalian orthoreovirus 1
3027,CHEMBL613720,Mammalian orthoreovirus 3,Mammalian orthoreovirus 3
3028,CHEMBL613721,Reovirus sp.,Reovirus sp.
3029,CHEMBL613722,Rotavirus,Rotavirus
3030,CHEMBL613723,Simian rotavirus,Simian rotavirus
3031,CHEMBL613724,Semliki forest virus,Semliki forest virus
3032,CHEMBL613725,Sindbis virus,Sindbis virus
3033,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
3034,CHEMBL613727,Flavivirus,Flavivirus
3035,CHEMBL613728,Dengue virus 4,Dengue virus type 4
3036,CHEMBL613729,Japanese encephalitis virus,Japanese encephalitis virus
3037,CHEMBL613730,West Nile virus,West Nile virus
3038,CHEMBL613731,Yellow fever virus,Yellow fever virus
3039,CHEMBL379,Hepatitis C virus,Hepatitis C virus
3040,CHEMBL613732,Coronavirus,Coronavirus
3041,CHEMBL613733,Murine hepatitis virus,Murine hepatitis virus
3042,CHEMBL613734,Murine hepatitis virus strain A59,Murine hepatitis virus (strain A59)
3043,CHEMBL613735,Mumps virus,Mumps virus
3044,CHEMBL613736,Newcastle disease virus,Newcastle disease virus
3045,CHEMBL613737,Human parainfluenza virus 2,Human parainfluenza virus 2
3046,CHEMBL613738,Measles virus,Measles virus
3047,CHEMBL613739,Vesicular stomatitis virus,Vesicular stomatitis virus
3048,CHEMBL613740,Influenza A virus,Influenza A virus
3049,CHEMBL613741,Punta Toro virus,Punta Toro virus
3050,CHEMBL612675,Junin virus,Junin virus
3051,CHEMBL613742,Pichinde virus,Pichinde virus
3052,CHEMBL613743,Retroviridae,Retroviridae
3053,CHEMBL613744,Feline immunodeficiency virus,Feline immunodeficiency virus
3054,CHEMBL380,Human immunodeficiency virus 2,Human immunodeficiency virus 2
3055,CHEMBL613745,Visna/maedi virus,Visna virus
3056,CHEMBL613746,Murine leukemia virus,Murine leukemia virus
3057,CHEMBL614951,Rous sarcoma virus,Rous sarcoma virus
3058,CHEMBL613748,Rauscher murine leukemia virus,Rauscher murine leukemia virus
3059,CHEMBL613749,Enterovirus,Enterovirus
3060,CHEMBL613750,Coxsackievirus,Coxsackievirus
3061,CHEMBL612677,Human coxsackievirus B1,Human coxsackievirus B1
